postcode,lat,lon,point
HP10 8LQ,51.63753217,-0.691882608,"POINT((-0.691882608,51.63753217))"
HP10 8LR,51.63638371,-0.696149549,"POINT((-0.696149549,51.63638371))"
HP10 8LS,51.63596268,-0.69548247,"POINT((-0.69548247,51.63596268))"
HP10 8LT,51.63610955,-0.695752808,"POINT((-0.695752808,51.63610955))"
HP10 8LU,51.63431814,-0.691527127,"POINT((-0.691527127,51.63431814))"
HP10 8LW,51.6366898,-0.69283,"POINT((-0.69283,51.6366898))"
HP10 8LX,51.63453755,-0.691043977,"POINT((-0.691043977,51.63453755))"
HP10 8LY,51.63319305,-0.690620302,"POINT((-0.690620302,51.63319305))"
HP10 8LZ,51.63245502,-0.691363998,"POINT((-0.691363998,51.63245502))"
HP10 8NA,51.63688127,-0.691568976,"POINT((-0.691568976,51.63688127))"
HP10 8ND,51.62907396,-0.688932902,"POINT((-0.688932902,51.62907396))"
HP10 8NE,51.63487225,-0.692031373,"POINT((-0.692031373,51.63487225))"
HP10 8NH,51.62996027,-0.687780398,"POINT((-0.687780398,51.62996027))"
HP10 8NJ,51.62656896,-0.68926515,"POINT((-0.68926515,51.62656896))"
HP10 8NL,51.62237387,-0.689631593,"POINT((-0.689631593,51.62237387))"
HP10 8NU,51.63202782,-0.683098,"POINT((-0.683098,51.63202782))"
HP10 8NX,51.63149428,-0.684081,"POINT((-0.684081,51.63149428))"
HP10 8NY,51.631469,-0.677113486,"POINT((-0.677113486,51.631469))"
HP10 8NZ,51.63016756,-0.676605943,"POINT((-0.676605943,51.63016756))"
HP10 8PD,51.62334063,-0.672225245,"POINT((-0.672225245,51.62334063))"
HP10 8PE,51.62166865,-0.67725765,"POINT((-0.67725765,51.62166865))"
HP10 8PF,51.618342,-0.682814,"POINT((-0.682814,51.618342))"
HP10 8PG,51.63009054,-0.671377933,"POINT((-0.671377933,51.63009054))"
HP10 8PH,51.63868811,-0.66991284,"POINT((-0.66991284,51.63868811))"
HP10 8PJ,51.6480062,-0.678905134,"POINT((-0.678905134,51.6480062))"
HP10 8PQ,51.62907468,-0.66584517,"POINT((-0.66584517,51.62907468))"
HP10 8QZ,51.64298428,-0.711684318,"POINT((-0.711684318,51.64298428))"
HP10 8RL,51.63354342,-0.689786605,"POINT((-0.689786605,51.63354342))"
HP10 8WF,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 8WL,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 8WR,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 8WU,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 8ZX,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 9AA,51.60150597,-0.711760965,"POINT((-0.711760965,51.60150597))"
HP10 9AB,51.59982682,-0.713613292,"POINT((-0.713613292,51.59982682))"
HP10 9AD,51.59779131,-0.712486888,"POINT((-0.712486888,51.59779131))"
HP10 9AG,51.59827172,-0.707925316,"POINT((-0.707925316,51.59827172))"
